Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit,Attacks,Update
6,1,#Y2YQ8P0Q9,lunatic,19,525,5,0,6,14:50 08-Nov-2023
6,2,#GC22C0G2,Raven,19,483,5,0,6,14:50 08-Nov-2023
6,3,#2RYGYL9G,Podeido,18,485,6,0,6,14:50 08-Nov-2023
6,4,#202PU202,Brian,17,537,3,0,6,14:50 08-Nov-2023
6,5,#Y282UQ80Q,Awkurtle,17,483,5,0,6,14:50 08-Nov-2023
6,6,#QVYRJYG2U,poochitaaa,16,480,4,0,6,14:50 08-Nov-2023
6,7,#G0GGJC99V,niconicorobin,16,444,3,0,6,14:50 08-Nov-2023
6,8,#QCYYJ8LLJ,我外婆家GrannyHouse,16,380,6,0,6,14:50 08-Nov-2023
6,9,#QV0VGJ0J9,我啊妈家Grandmahaus,15,424,3,0,6,14:50 08-Nov-2023
6,10,#LQ9PGUU8,我啊公家Grandpahome,13,414,4,0,6,14:50 08-Nov-2023
6,11,#29J2GYLC,®️lunatic®️,12,458,0,1,6,14:50 08-Nov-2023
6,12,#RP99QCPG,Shinikigami,12,442,1,0,6,14:50 08-Nov-2023
6,13,#G8CCCG0Q9,woofwentdog,12,433,1,0,6,14:50 08-Nov-2023
6,14,#20VJ9V0UY,3Hours,12,427,3,0,6,14:50 08-Nov-2023
6,15,#G82CYGJU8,harbourfront,12,404,4,0,6,14:50 08-Nov-2023
6,16,#QCP0PPYU,我家MYHOUSE,11,432,1,0,6,14:50 08-Nov-2023
6,17,#QVQYQ2RQ8,tonytonychopper,11,391,4,0,6,14:50 08-Nov-2023
6,18,#9QJPVYC0,tengah,10,327,4,0,5,14:50 08-Nov-2023
6,19,#JV09YLLV,SacredX,9,431,0,0,6,14:50 08-Nov-2023
6,20,#8PLG2LYJ0,Linlook,9,364,0,0,5,14:50 08-Nov-2023
6,21,#8CJ9Y2RJU,RaveN,9,322,3,0,5,14:50 08-Nov-2023
6,22,#QCJVJRUCJ,Mr. Tess,9,216,4,0,4,14:50 08-Nov-2023
6,23,#LL292PRC0,yishun,8,457,0,4,6,14:50 08-Nov-2023
6,24,#QVUU9G09P,bedok,8,302,3,0,5,14:50 08-Nov-2023
6,25,#G0ULGUUR2,Sacr3dX,8,282,2,0,5,14:50 08-Nov-2023
6,26,#20CL2LQG,Lee Hsien Loong,8,232,2,0,3,14:50 08-Nov-2023
6,27,#982J0Q9J,✨MVP✨,7,242,1,0,4,14:50 08-Nov-2023
6,28,#U8VRJYUC,seasaurus,3,144,0,0,3,14:50 08-Nov-2023
6,29,#QQQJ8QCC9,Ghoul,3,100,0,0,1,14:50 08-Nov-2023
6,30,#GPU8RJ9G2,rookie,3,57,1,0,1,14:50 08-Nov-2023
6,31,#VJJJVGY2,ACAP,2,66,1,0,1,14:50 08-Nov-2023
6,32,#YVLLRJJV,Twinstar,0,0,0,0,0,14:50 08-Nov-2023
6,33,#JYVJCQCG,Unicorn,0,0,0,0,0,14:50 08-Nov-2023
6,34,#J8V0Q088,捐兵号,0,0,0,0,0,14:50 08-Nov-2023
6,35,#Q88UGCL29,Baconbanmi,0,0,0,0,0,14:50 08-Nov-2023
6,36,#G8QVLYYLL,JohnWeak,0,0,0,0,0,14:50 08-Nov-2023
6,37,#J9RQLJ0Q,BlackX,0,0,0,0,0,14:50 08-Nov-2023
6,38,#9UQGPRLYP,Halimah Yacob,0,0,0,0,0,14:50 08-Nov-2023
6,39,#G8QL2L22Q,Ryewff,0,0,0,0,0,14:50 08-Nov-2023
6,40,#G0RVVULRP,nutsiao,0,0,0,0,0,14:50 08-Nov-2023
6,41,#QC8VYYR90,Daros Diastima,0,0,0,0,0,14:50 08-Nov-2023
6,42,#G9PJ2URGP,raven,0,0,0,0,0,14:50 08-Nov-2023
