Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit,Attacks,Update
6,1,#Y2YQ8P0Q9,lunatic,19,500,4,0,5,16:48:09 05/08/2024
6,2,#8PLG2LYJ0,Linlook,17,498,3,0,5,16:48:09 05/08/2024
6,3,#QVYRJYG2U,poochitaaa,15,487,1,0,5,16:48:09 05/08/2024
6,4,#2RYGYL9G,Podeido,15,469,2,0,5,16:48:09 05/08/2024
6,5,#Y282UQ80Q,Awkurtle,14,485,1,0,5,16:48:09 05/08/2024
6,6,#G82CYGJU8,harbourfront,14,465,2,0,5,16:48:09 05/08/2024
6,7,#202PU202,Brian,14,400,2,0,4,16:48:09 05/08/2024
6,8,#9QJPVYC0,tengah,13,385,3,0,5,16:48:09 05/08/2024
6,9,#G8CCCG0Q9,woofwentdog,11,385,2,0,5,16:48:09 05/08/2024
6,10,#JV09YLLV,SacredX,10,413,2,0,5,16:48:09 05/08/2024
6,11,#8YQRU2UG,dessy,10,344,1,0,5,16:48:09 05/08/2024
6,12,#LL292PRC0,yishun,7,446,0,4,5,16:48:09 05/08/2024
6,13,#GC22C0G2,Raven,6,199,1,0,2,16:48:09 05/08/2024
6,14,#20VJ9V0UY,3Hours,6,184,1,0,2,16:48:09 05/08/2024
6,15,#RP99QCPG,Shinikigami,5,185,1,0,2,16:48:09 05/08/2024
6,16,#QCP0PPYU,我家MYHOUSE,3,71,1,0,1,16:48:09 05/08/2024
6,17,#QVUU9G09P,bedok,0,0,0,0,0,16:48:09 05/08/2024
6,18,#LQ9PGUU8,我啊公家Grandpahome,0,0,0,0,0,16:48:09 05/08/2024
6,19,#G0GGJC99V,niconicorobin,0,0,0,0,0,16:48:09 05/08/2024
6,20,#YVLLRJJV,Twinstar,0,0,0,0,0,16:48:09 05/08/2024
6,21,#QCYYJ8LLJ,我外婆家GrannyHouse,0,0,0,0,0,16:48:09 05/08/2024
6,22,#8CJ9Y2RJU,RaveN,0,0,0,0,0,16:48:09 05/08/2024
6,23,#982J0Q9J,✨MVP✨,0,0,0,0,0,16:48:09 05/08/2024
6,24,#QCJVJRUCJ,Mr. Tess,0,0,0,0,0,16:48:09 05/08/2024
6,25,#20CL2LQG,Lee Hsien Loong,0,0,0,0,0,16:48:09 05/08/2024
6,26,#JYVJCQCG,Unicorn,0,0,0,0,0,16:48:09 05/08/2024
6,27,#VJJJVGY2,ACAP,0,0,0,0,0,16:48:09 05/08/2024
6,28,#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0,0,16:48:09 05/08/2024
6,29,#QVQYQ2RQ8,tonytonychopper,0,0,0,0,0,16:48:09 05/08/2024
6,30,#U8VRJYUC,seasaurus,0,0,0,0,0,16:48:09 05/08/2024
6,31,#29J2GYLC,®️lunatic®️,0,0,0,0,0,16:48:09 05/08/2024
6,32,#G8QVLYYLL,JohnWeak,0,0,0,0,0,16:48:09 05/08/2024
6,33,#J8V0Q088,捐兵号,0,0,0,0,0,16:48:09 05/08/2024
6,34,#QQQJ8QCC9,Ghoul,0,0,0,0,0,16:48:09 05/08/2024
6,35,#G0ULGUUR2,Sacr3dX,0,0,0,0,0,16:48:09 05/08/2024
6,36,#J9RQLJ0Q,BlackX,0,0,0,0,0,16:48:09 05/08/2024
6,37,#G0RVVULRP,nutsiao,0,0,0,0,0,16:48:09 05/08/2024
6,38,#9UQGPRLYP,Halimah Yacob,0,0,0,0,0,16:48:09 05/08/2024
6,39,#QC8VYYR90,Daros Diastima,0,0,0,0,0,16:48:09 05/08/2024
6,40,#G9PJ2URGP,raven,0,0,0,0,0,16:48:09 05/08/2024
